,plugin,conda_downloads,pypi_downloads
196,napari-nD-annotator,22.0,91.0
197,napari-nanopyx,,
198,napari-napari,,
199,napari-nasa-samples,6.0,33.0
200,napari-nd-cropper,10.0,13.0
201,napari-nd2-folder-viewer,22.0,119.0
202,napari-ndev,,306.0
203,napari-ndtiffs,9.0,788.0
204,napari-nibabel,,57.0
205,napari-nifti,,
206,napari-nikon-nd2,10.0,51.0
207,napari-nlm,,24.0
208,napari-nucleaizer,,20.0
209,napari-nyxus,,
210,napari-obj,,
211,napari-omaas,13.0,25.0
212,napari-ome-zarr,72.0,896.0
213,napari-omero,15.0,42.0
214,napari-organoid-counter,,26.0
215,napari-owncloud,,25.0
216,napari-patchcreator,,36.0
217,napari-pdf-reader,13.0,7.0
218,napari-pdr-reader,10.0,9.0
219,napari-pixel-correction,,36.0
220,napari-plot,44.0,30.0
221,napari-plot-profile,124.0,130.0
222,napari-plugin-search,113.0,74.0
223,napari-pointslayer-projection,,26.0
224,napari-power-spectrum,11.0,14.0
225,napari-power-widgets,,10.0
226,napari-pram,11.0,25.0
227,napari-process-points-and-surfaces,,534.0
228,napari-proofread-brainbow,,98.0
229,napari-properties-plotter,10.0,23.0
230,napari-properties-viewer,9.0,78.0
231,napari-psf-analysis,11.0,75.0
232,napari-psf-simulator,10.0,37.0
233,napari-pssr,,13.0
234,napari-pyclesperanto-assistant,98.0,533.0
235,napari-pymeshlab,,35.0
236,napari-pystackreg,16.0,86.0
237,napari-qrcode,,33.0
238,napari-quoll,,13.0
239,napari-result-stack,,43.0
240,napari-rioxarray,,19.0
241,napari-roi,96.0,171.0
242,napari-roi-registration,19.0,51.0
243,napari-sairyscan,,10.0
244,napari-sam,,
245,napari-sc3D-viewer,11.0,36.0
246,napari-script-editor,32.0,110.0
247,napari-sdeconv,8.0,23.0
248,napari-seedseg,,
249,napari-segment,,146.0
250,napari-segment-anything,,
251,napari-segment-blobs-and-things-with-membranes,130.0,536.0
252,napari-serialcellpose,,39.0
253,napari-sif-reader,,11.0
254,napari-sift-registration,10.0,24.0
255,napari-sim-processor,18.0,363.0
256,napari-simpleitk-image-processing,100.0,209.0
257,napari-skimage-regionprops,169.0,2481.0
258,napari-solarized,,29.0
259,napari-spacetx-explorer,13.0,35.0
260,napari-spatial-omics,13.0,28.0
261,napari-spatialdata,10.0,35.0
262,napari-splinedist,,52.0
263,napari-splineit,38.0,60.0
264,napari-spreadsheet,,54.0
265,napari-stable-diffusion,,14.0
266,napari-steinpose,,17.0
267,napari-stl-exporter,46.0,103.0
268,napari-stracking,10.0,34.0
269,napari-stress,,374.0
270,napari-subboxer,10.0,6.0
271,napari-superres,,
272,napari-svetlana,,159.0
273,napari-svg,74.0,23782.0
274,napari-tabu,114.0,74.0
275,napari-text-layer,10.0,15.0
276,napari-tiledb-bioimg,,
277,napari-tiler,57.0,31.0
278,napari-time-series-plotter,35.0,36.0
279,napari-time-slicer,244.0,1177.0
280,napari-timeseries-opener-plugin,35.0,67.0
281,napari-tissuumaps,13.0,38.0
282,napari-tomocube-data-viewer,,105.0
283,napari-tomodl,,573.0
284,napari-tomoslice,11.0,16.0
285,napari-tomotwin,,108.0
286,napari-tracing,,
287,napari-tracks-reader,10.0,21.0
288,napari-trait2d,21.0,30.0
289,napari-turing,27.0,39.0
290,napari-tyssue,,39.0
291,napari-ui-tracer,,236.0
292,napari-umap,,13.0
293,napari-unicell,,40.0
294,napari-validate-random-label-predictions,,12.0
295,napari-vedo-bridge,,
296,napari-vesicles-segmentation,8.0,10.0
297,napari-video-cvdask,,21.0
298,napari-vodex,,57.0
299,napari-workflow-inspector,141.0,80.0
300,napari-workflow-optimizer,126.0,60.0
301,napari-workshop-browser,,
302,napari-wsi,,173.0
303,napari-wsireg,,21.0
304,napari-yapic-prediction,17.0,54.0
305,napari-yolov5,22.0,56.0
306,napari-zelda,9.0,38.0
307,napari-zulip,,
308,napari_video,35.0,121.0
309,natari,10.0,34.0
310,nfinder,33.0,9.0
311,okapi-em,,93.0
312,organelle-segmenter-plugin,,
313,palmari,73.0,191.0
314,platelet-unet-watershed,14.0,8.0
315,psfmodels,169.0,235.0
316,pycudadecon,90.0,33.0
317,recOrder-napari,42.0,122.0
318,skan,162.0,11882.0
319,skeleton-finder,,14.0
320,smo,14.0,105.0
321,snouty-viewer,,186.0
322,stardist-napari,22.0,500.0
323,the-segmentation-game,128.0,58.0
324,tootapari,,
325,vessel-express-napari,9.0,10.0
326,vollseg-napari,23.0,284.0
327,vollseg-napari-mtrack,,137.0
328,vollseg-napari-trackmate,,648.0
329,waver,16.0,36.0
330,workshop-demo,10.0,18.0
331,yt-napari,10.0,13.0
332,zarpaint,,17.0
333,zarr-tools,,782.0
