,plugin,conda_downloads,pypi_downloads
138,napari-micromanager,30.0,47.0
139,napari-microscope,14.0,19.0
140,napari-mm3,,249.0
141,napari-molecule-reader,30.0,26.0
142,napari-mouse-controls,124.0,183.0
143,napari-mrcfile-handler,17.0,44.0
144,napari-mrcfile-reader,17.0,46.0
145,napari-mri,12.0,27.0
146,napari-multitask,14.0,33.0
147,napari-n2v,,220.0
148,napari-nD-annotator,30.0,191.0
149,napari-nasa-samples,18.0,50.0
150,napari-nd-cropper,14.0,36.0
151,napari-nd2-folder-viewer,30.0,105.0
152,napari-ndtiffs,22.0,312.0
153,napari-nikon-nd2,15.0,69.0
154,napari-nlm,,20.0
155,napari-nucleaizer,,31.0
156,napari-omaas,15.0,50.0
157,napari-ome-zarr,102.0,1074.0
158,napari-omero,15.0,34.0
159,napari-organoid-counter,,45.0
160,napari-patchcreator,,50.0
161,napari-pdf-reader,18.0,29.0
162,napari-pdr-reader,15.0,14.0
163,napari-pixel-correction,,64.0
164,napari-plot,61.0,49.0
165,napari-plot-profile,190.0,324.0
166,napari-plugin-search,124.0,164.0
167,napari-power-spectrum,15.0,32.0
168,napari-pram,14.0,29.0
169,napari-process-points-and-surfaces,,735.0
170,napari-proofread-brainbow,,92.0
171,napari-properties-plotter,14.0,46.0
172,napari-properties-viewer,14.0,44.0
173,napari-psf-analysis,17.0,144.0
174,napari-psf-simulator,16.0,65.0
175,napari-pyclesperanto-assistant,309.0,655.0
176,napari-pymeshlab,,56.0
177,napari-pystackreg,126.0,159.0
178,napari-quoll,,20.0
179,napari-rioxarray,,23.0
180,napari-roi,231.0,260.0
181,napari-roi-registration,27.0,67.0
182,napari-sairyscan,,24.0
183,napari-sc3D-viewer,17.0,18.0
184,napari-script-editor,89.0,234.0
185,napari-sdeconv,19.0,28.0
186,napari-segment,,355.0
187,napari-segment-blobs-and-things-with-membranes,289.0,939.0
188,napari-serialcellpose,,121.0
189,napari-sif-reader,,
190,napari-sift-registration,13.0,30.0
191,napari-sim-processor,27.0,38.0
192,napari-simpleitk-image-processing,276.0,364.0
193,napari-skimage-regionprops,552.0,2235.0
194,napari-spacetx-explorer,14.0,49.0
195,napari-spatial-omics,13.0,59.0
196,napari-spatialdata,11.0,64.0
197,napari-splinedist,,279.0
198,napari-splineit,152.0,398.0
199,napari-spreadsheet,,28.0
200,napari-stable-diffusion,,65.0
201,napari-stl-exporter,47.0,90.0
202,napari-stracking,8.0,62.0
203,napari-stress,,191.0
204,napari-subboxer,12.0,36.0
205,napari-svg,2057.0,20385.0
206,napari-tabu,126.0,149.0
207,napari-text-layer,10.0,39.0
208,napari-tiler,81.0,62.0
209,napari-time-series-plotter,45.0,55.0
210,napari-time-slicer,270.0,1698.0
211,napari-timeseries-opener-plugin,73.0,263.0
212,napari-tissuumaps,12.0,58.0
213,napari-tomoslice,14.0,45.0
214,napari-tracks-reader,17.0,41.0
215,napari-trait2d,26.0,32.0
216,napari-turing,13.0,134.0
217,napari-tyssue,,74.0
218,napari-umap,,
219,napari-vesicles-segmentation,20.0,19.0
220,napari-video-cvdask,,22.0
221,napari-workflow-inspector,171.0,181.0
222,napari-workflow-optimizer,144.0,163.0
223,napari-wsireg,,65.0
224,napari-yapic-prediction,23.0,68.0
225,napari-yolov5,63.0,135.0
226,napari-zelda,15.0,60.0
227,napari_video,41.0,94.0
228,natari,14.0,58.0
229,nfinder,42.0,29.0
230,okapi-em,,199.0
231,palmari,265.0,407.0
232,platelet-unet-watershed,21.0,21.0
233,psfmodels,239.0,222.0
234,pycudadecon,51.0,54.0
235,recOrder-napari,159.0,288.0
236,skeleton-finder,,22.0
237,smo,19.0,53.0
238,snouty-viewer,,47.0
239,stardist-napari,41.0,510.0
240,the-segmentation-game,207.0,211.0
241,vessel-express-napari,22.0,34.0
242,vollseg-napari,96.0,656.0
243,waver,48.0,50.0
244,workshop-demo,25.0,24.0
245,yt-napari,26.0,18.0
246,zarpaint,,28.0
