,plugin,conda_downloads,pypi_downloads
247,palmari,124.0,58.0
248,platelet-unet-watershed,15.0,16.0
249,psfmodels,76.0,374.0
250,pycudadecon,79.0,52.0
251,recOrder-napari,55.0,91.0
252,skeleton-finder,,14.0
253,smo,15.0,29.0
254,snouty-viewer,,30.0
255,stardist-napari,28.0,519.0
256,the-segmentation-game,100.0,84.0
257,vessel-express-napari,15.0,18.0
258,vollseg-napari,29.0,450.0
259,vollseg-napari-mtrack,,530.0
260,vollseg-napari-trackmate,,74.0
261,waver,27.0,32.0
262,workshop-demo,10.0,15.0
263,yt-napari,5.0,7.0
264,zarpaint,,11.0
