,plugin,conda_downloads,pypi_downloads
154,napari-nD-annotator,55.0,137.0
155,napari-nasa-samples,22.0,34.0
156,napari-nd-cropper,18.0,24.0
157,napari-nd2-folder-viewer,47.0,110.0
158,napari-ndtiffs,25.0,394.0
159,napari-nikon-nd2,18.0,48.0
160,napari-nlm,,30.0
161,napari-nucleaizer,,29.0
162,napari-omaas,24.0,31.0
163,napari-ome-zarr,119.0,1205.0
164,napari-omero,23.0,39.0
165,napari-organoid-counter,,31.0
166,napari-owncloud,,143.0
167,napari-patchcreator,,34.0
168,napari-pdf-reader,22.0,16.0
169,napari-pdr-reader,24.0,18.0
170,napari-pixel-correction,,26.0
171,napari-plot,78.0,59.0
172,napari-plot-profile,105.0,84.0
173,napari-plugin-search,74.0,53.0
174,napari-power-spectrum,16.0,20.0
175,napari-power-widgets,,86.0
176,napari-pram,14.0,28.0
177,napari-process-points-and-surfaces,,332.0
178,napari-proofread-brainbow,,72.0
179,napari-properties-plotter,15.0,34.0
180,napari-properties-viewer,16.0,35.0
181,napari-psf-analysis,15.0,259.0
182,napari-psf-simulator,18.0,43.0
183,napari-pssr,,83.0
184,napari-pyclesperanto-assistant,261.0,292.0
185,napari-pymeshlab,,37.0
186,napari-pystackreg,72.0,148.0
187,napari-quoll,,25.0
188,napari-rioxarray,,23.0
189,napari-roi,202.0,99.0
190,napari-roi-registration,31.0,56.0
191,napari-sairyscan,,19.0
192,napari-sc3D-viewer,28.0,81.0
193,napari-script-editor,58.0,81.0
194,napari-sdeconv,15.0,26.0
195,napari-segment,,469.0
196,napari-segment-blobs-and-things-with-membranes,285.0,952.0
197,napari-serialcellpose,,68.0
198,napari-sif-reader,,89.0
199,napari-sift-registration,26.0,28.0
200,napari-sim-processor,35.0,39.0
201,napari-simpleitk-image-processing,249.0,195.0
202,napari-skimage-regionprops,498.0,1339.0
203,napari-spacetx-explorer,18.0,35.0
204,napari-spatial-omics,17.0,31.0
205,napari-spatialdata,16.0,44.0
206,napari-splinedist,,66.0
207,napari-splineit,108.0,61.0
208,napari-spreadsheet,,53.0
209,napari-stable-diffusion,,27.0
210,napari-steinpose,,76.0
211,napari-stl-exporter,67.0,59.0
212,napari-stracking,17.0,33.0
213,napari-stress,,184.0
214,napari-subboxer,19.0,16.0
215,napari-svetlana,,269.0
216,napari-svg,1837.0,20482.0
217,napari-tabu,77.0,62.0
218,napari-text-layer,20.0,25.0
219,napari-tiler,97.0,34.0
220,napari-time-series-plotter,44.0,102.0
221,napari-time-slicer,236.0,1077.0
222,napari-timeseries-opener-plugin,56.0,83.0
223,napari-tissuumaps,15.0,40.0
224,napari-tomoslice,15.0,24.0
225,napari-tracks-reader,22.0,24.0
226,napari-trait2d,37.0,17.0
227,napari-turing,81.0,58.0
228,napari-tyssue,,89.0
229,napari-umap,,90.0
230,napari-unicell,,212.0
231,napari-validate-random-label-predictions,,68.0
232,napari-vesicles-segmentation,25.0,17.0
233,napari-video-cvdask,,25.0
234,napari-workflow-inspector,127.0,87.0
235,napari-workflow-optimizer,97.0,59.0
236,napari-wsireg,,37.0
237,napari-yapic-prediction,35.0,52.0
238,napari-yolov5,56.0,31.0
239,napari-zelda,17.0,44.0
240,napari_video,64.0,136.0
241,natari,23.0,37.0
242,nfinder,49.0,14.0
243,okapi-em,,147.0
244,palmari,196.0,80.0
245,platelet-unet-watershed,22.0,17.0
246,psfmodels,473.0,270.0
247,pycudadecon,139.0,108.0
248,recOrder-napari,108.0,131.0
249,skeleton-finder,,20.0
250,smo,23.0,32.0
251,snouty-viewer,,24.0
252,stardist-napari,33.0,388.0
253,the-segmentation-game,101.0,58.0
254,vessel-express-napari,29.0,22.0
255,vollseg-napari,48.0,1556.0
256,waver,36.0,25.0
257,workshop-demo,25.0,19.0
258,yt-napari,12.0,16.0
259,zarpaint,,9.0
