,plugin,conda_downloads,pypi_downloads
192,napari-vesicles-segmentation,,
193,napari-video-cvdask,,
194,napari-workflow-inspector,659.0,
195,napari-workflow-optimizer,355.0,
196,napari-wsireg,,
197,napari-yapic-prediction,297.0,
198,napari-yolov5,150.0,
199,napari-zelda,148.0,
200,napari_video,301.0,
201,natari,151.0,
202,nfinder,434.0,
203,palmari,265.0,
204,platelet-unet-watershed,152.0,
205,psfmodels,512.0,
206,pycudadecon,45.0,
207,recOrder-napari,,
208,skeleton-finder,,
209,smo,154.0,
210,stardist-napari,437.0,
211,the-segmentation-game,212.0,
212,vessel-express-napari,,
213,vollseg-napari,,
214,waver,291.0,
215,workshop-demo,145.0,
216,yt-napari,160.0,
217,zarpaint,,
