,plugin,conda_downloads,pypi_downloads
259,PartSeg,145.0,1514.0
260,napari-deepfinder,,12.0
261,napari-filament-annotator,,13.0
262,imaxt-multiscale-plugin,,94.0
263,napari-h5,,203.0
264,napari-napari,,14.0
265,napari-label-interpolator,,24.0
266,napari-segment-anything,,76.0
267,napari-EMD,,225.0
268,napari-tracing,,16.0
269,napari-pyclesperanto-assistant,143.0,284.0
270,napari-plot,68.0,301.0
271,napari-tomotwin,,262.0
272,elastix-napari,,49.0
273,napari-nifti,,181.0
274,napari-assistant-plugin-generator,,29.0
275,napari-deeplabcut,94.0,2347.0
276,napari-bio-sample-data,15.0,16.0
277,affinder,54.0,213.0
278,napari-shape-odyssey,,69.0
279,koopa-viz,14.0,31.0
280,smo,17.0,65.0
281,ilastik-napari,,34.0
282,napari-signal-selector,,
283,napari-features-selector,,21.0
284,napari-live-flim,,16.0
285,napari-solarized,,16.0
286,napari-yapic-prediction,25.0,46.0
287,napari-czann-segment,48.0,40.0
288,yt-napari,15.0,252.0
289,napari-workflow-optimizer,243.0,96.0
290,napari-pointslayer-projection,,8.0
291,btrack,65.0,646.0
292,darth-d,,
293,napari-macrokit,,176.0
294,napari-blossom,17.0,25.0
295,napari-microscope,14.0,25.0
296,napari-sift-registration,14.0,24.0
297,napari-bil-data-viewer,22.0,69.0
298,napari-hough-circle-detector,,21.0
299,napari-laptrack,,17.0
300,napari-kics,20.0,12.0
301,skan,67.0,7080.0
302,napari-3d-ortho-viewer,226.0,35.0
303,napari-psf-simulator,14.0,43.0
304,napari-blender-bridge,,22.0
305,devbio-napari,392.0,96.0
306,napari-bioformats,40.0,76.0
307,napari-sairyscan,,19.0
308,napari-timeseries-opener-plugin,54.0,47.0
309,napari-listener,,11.0
310,napari-gemspa,,98.0
311,multireg,,86.0
312,napari-sdeconv,16.0,29.0
313,bbii-decon,10.0,9.0
314,napari-ccp4map,15.0,14.0
315,napari-bleach-correct,,14.0
316,organelle-segmenter-plugin,,102.0
317,napari-matplotlib,32.0,1962.0
318,napari-deepmeta,19.0,29.0
319,napari-superres,,68.0
320,napari-mouse-controls,223.0,95.0
321,napari-mzarr,,9.0
322,napari-nyxus,,9.0
323,napari-input-visualizer,,12.0
324,napari-pdf-reader,16.0,9.0
325,skeleton-finder,,22.0
326,napari-tomocube-data-viewer,,81.0
327,napari-mat-file-reader,,15.0
328,napari-calibration,,63.0
329,napari-vodex,,33.0
330,platelet-unet-watershed,17.0,14.0
331,napari-allencell-segmenter,39.0,206.0
332,napari-data-preview,,6.0
333,napari-buds,,62.0
334,napari-mrcfile-reader,20.0,36.0
335,napari-griottes,,23.0
336,napari-tyssue,,19.0
337,napari-ui-tracer,,20.0
338,generate-dense-patches,,
339,napari-nlm,,18.0
340,napari-manual-transforms,18.0,31.0
341,napari-hdf5-labels-io,15.0,31.0
342,napari-zelda,16.0,206.0
343,napari-ome-zarr,146.0,1437.0
344,napatrackmater,,1082.0
345,napari-mclabel,,23.0
346,napari-ISM,27.0,197.0
347,napari-locan,,
348,napari-lazy-openslide,76.0,89.0
349,Image-Composer,14.0,23.0
350,zarpaint,,12.0
351,napari-boxmanager,,483.0
352,vollseg-napari-trackmate,,396.0
353,napari-splineit,69.0,25.0
354,okapi-em,,162.0
355,stardist-napari,30.0,119.0
356,napari-geoscience-viewer,,38.0
357,epitools,,142.0
358,napari-skimage-regionprops,230.0,2338.0
359,spots-in-yeasts,,191.0
360,napari-mm3,,70.0
361,tootapari,,13.0
362,napari-owncloud,,14.0
363,napari-properties-viewer,14.0,42.0
