,plugin,conda_downloads,pypi_downloads
119,napari-manual-transforms,24.0,32.0
120,napari-mat-images,13.0,92.0
121,napari-math,42.0,31.0
122,napari-matplotlib,50.0,340.0
123,napari-medical-image-formats,21.0,127.0
124,napari-merge-stardist-masks,,24.0
125,napari-metroid,62.0,91.0
126,napari-micromanager,43.0,304.0
127,napari-microscope,22.0,82.0
128,napari-mm3,,40.0
129,napari-molecule-reader,38.0,36.0
130,napari-mouse-controls,71.0,220.0
131,napari-mrcfile-handler,21.0,101.0
132,napari-mrcfile-reader,23.0,102.0
133,napari-mri,22.0,82.0
134,napari-multitask,19.0,87.0
135,napari-nD-annotator,,36.0
136,napari-nasa-samples,51.0,54.0
137,napari-nd-cropper,17.0,97.0
138,napari-nd2-folder-viewer,55.0,117.0
139,napari-ndtiffs,28.0,1301.0
140,napari-nikon-nd2,22.0,107.0
141,napari-nlm,,45.0
142,napari-nucleaizer,,48.0
143,napari-omaas,52.0,101.0
144,napari-ome-zarr,116.0,986.0
145,napari-omero,25.0,42.0
146,napari-organoid-counter,,38.0
147,napari-patchcreator,,253.0
148,napari-pdf-reader,24.0,82.0
149,napari-pdr-reader,53.0,22.0
150,napari-plot,82.0,120.0
151,napari-plot-profile,67.0,248.0
152,napari-plugin-search,70.0,210.0
153,napari-power-spectrum,25.0,23.0
154,napari-pram,23.0,44.0
155,napari-process-points-and-surfaces,,1163.0
156,napari-proofread-brainbow,,408.0
157,napari-properties-plotter,19.0,97.0
158,napari-properties-viewer,20.0,94.0
159,napari-psf-analysis,28.0,131.0
160,napari-psf-simulator,24.0,47.0
161,napari-pyclesperanto-assistant,222.0,533.0
162,napari-pymeshlab,,54.0
163,napari-pystackreg,32.0,34.0
164,napari-quoll,,60.0
165,napari-rioxarray,,
166,napari-roi,213.0,358.0
167,napari-roi-registration,43.0,75.0
168,napari-sairyscan,,26.0
169,napari-sc3D-viewer,,21.0
170,napari-script-editor,44.0,153.0
171,napari-sdeconv,24.0,32.0
172,napari-segment-blobs-and-things-with-membranes,350.0,863.0
173,napari-serialcellpose,,277.0
174,napari-sift-registration,55.0,59.0
175,napari-sim-processor,87.0,77.0
176,napari-simpleitk-image-processing,336.0,409.0
177,napari-skimage-regionprops,442.0,1054.0
178,napari-spacetx-explorer,18.0,128.0
179,napari-spatial-omics,19.0,120.0
180,napari-spatialdata,54.0,108.0
181,napari-splineit,22.0,37.0
182,napari-spreadsheet,,62.0
183,napari-stl-exporter,63.0,200.0
184,napari-stracking,53.0,141.0
185,napari-stress,,67.0
186,napari-subboxer,24.0,85.0
187,napari-svg,2572.0,19869.0
188,napari-tabu,67.0,156.0
189,napari-text-layer,23.0,95.0
190,napari-tiler,71.0,130.0
191,napari-time-series-plotter,82.0,146.0
192,napari-time-slicer,251.0,1078.0
193,napari-timeseries-opener-plugin,72.0,508.0
194,napari-tissuumaps,14.0,151.0
195,napari-tomoslice,17.0,118.0
196,napari-tracks-reader,18.0,101.0
197,napari-trait2d,103.0,61.0
198,napari-turing,53.0,198.0
199,napari-vesicles-segmentation,56.0,29.0
200,napari-video-cvdask,,42.0
201,napari-workflow-inspector,118.0,179.0
202,napari-workflow-optimizer,82.0,153.0
203,napari-wsireg,,105.0
204,napari-yapic-prediction,38.0,175.0
205,napari-yolov5,23.0,100.0
206,napari-zelda,18.0,140.0
207,napari_video,87.0,243.0
208,natari,21.0,116.0
209,nfinder,68.0,89.0
210,palmari,16.0,23.0
211,platelet-unet-watershed,20.0,82.0
212,psfmodels,200.0,284.0
213,pycudadecon,128.0,95.0
214,recOrder-napari,,203.0
215,skeleton-finder,,8.0
216,smo,20.0,82.0
217,snouty-viewer,,17.0
218,stardist-napari,49.0,445.0
219,the-segmentation-game,74.0,123.0
220,vessel-express-napari,54.0,103.0
221,vollseg-napari,55.0,317.0
222,waver,43.0,79.0
223,workshop-demo,20.0,18.0
224,yt-napari,25.0,20.0
225,zarpaint,,78.0
