,plugin,conda_downloads,pypi_downloads
96,napari-roi,203.0,169.0
97,PartSeg-smfish,74.0,24.0
98,napari-tomoslice,25.0,10.0
99,napari-cryoet-data-portal,,
100,napari-labeling,27.0,15.0
101,napari-time-slicer,473.0,581.0
102,napari-indices,,
103,napari-qrcode,,8.0
104,napari-arboretum,76.0,40.0
105,napari-sam,,2459.0
106,napari-features,25.0,17.0
107,allencell-ml-segmenter,,304.0
108,napari-micromanager,53.0,108.0
109,napari-mri,26.0,12.0
110,napari-medical-image-formats,27.0,128.0
111,napari-rioxarray,,16.0
112,napari-script-editor,84.0,57.0
113,napari-spacetx-explorer,26.0,25.0
114,napari-graph,,
115,napari-PHILOW,32.0,103.0
116,napari-sc3D-viewer,25.0,18.0
117,napari-bigfish,,323.0
118,nucleaizer-backend,,17.0
119,hesperos,217.0,217.0
120,napari-tiler,46.0,41.0
121,faser,,48.0
122,napari-layer-details-display,79.0,64.0
123,napari-meshio,,19.0
124,napari-figure,,
125,napari-locpix,,12.0
126,napari-labels-overlap,50.0,22.0
127,napari-annotate,,24.0
128,napari-large-image-importer,,10.0
129,napari-patchcreator,,18.0
130,napari-labelprop,,
131,napari-mat-images,26.0,19.0
132,napari-result-stack,,6.0
133,napari-nanopyx,,
134,brainreg-napari,,186.0
135,napari-PICASSO,23.0,14.0
136,psfmodels,162.0,177.0
137,zarr-tools,,287.0
138,misic-napari,62.0,51.0
139,napari-bfio,,
140,napari-multitask,23.0,11.0
141,napari-tracks-reader,25.0,23.0
142,napari-boids,,25.0
143,napari-stl-exporter,102.0,53.0
144,napari-ndtiffs,57.0,811.0
145,Offset-Subtraction,24.0,7.0
146,Layer-Data-Replace,27.0,7.0
147,napari-unicell,,13.0
148,napari-spreadsheet,,100.0
149,napari-tomodl,,97.0
150,napari-accelerated-pixel-and-object-classification,349.0,168.0
151,napari-compressed-labels-io,25.0,17.0
152,Image-Part-Selecter,28.0,14.0
153,napari-animation,52.0,212.0
154,napari-omero,27.0,179.0
155,napari-segment,,71.0
156,napari-workshop-browser,,
157,napari-nd-cropper,29.0,11.0
158,cellpose-napari,59.0,126.0
159,palmari,178.0,493.0
160,napari-serialcellpose,,17.0
161,napari-pystackreg,28.0,58.0
162,napari-elementary-numpy-operations,25.0,34.0
163,napari-wsireg,,32.0
164,napari-umap,,9.0
165,napari-steinpose,,17.0
166,napari-dzi-zarr,24.0,32.0
167,napari-pixel-correction,,11.0
168,cellfinder-napari,86.0,159.0
169,napari-tissuumaps,24.0,24.0
170,napari-file-watcher,,21.0
171,napari-tabu,208.0,61.0
172,RedLionfish,168.0,132.0
173,napari-SAM4IS,,208.0
174,napari-IP-workflow,25.0,7.0
175,nfinder,78.0,17.0
176,napari-geojson,24.0,63.0
177,napari-J,77.0,67.0
178,napari-amdtrk,,141.0
179,napari-plot-profile,234.0,112.0
180,napari-clemreg,,16.0
181,anchor-droplet-chip,,427.0
182,napari-tiledb-bioimg,,
183,PlatyMatch,210.0,44.0
184,in-silico-fate-mapping,,81.0
185,napari-boardgame-maker,,
186,snouty-viewer,,59.0
187,napari-properties-plotter,24.0,30.0
188,avidaq,51.0,50.0
189,brainglobe-napari-io,83.0,260.0
190,napari-lattice,,182.0
191,napari-gruvbox,,26.0
192,napari-video-cvdask,,13.0
193,bfio,,1640.0
194,napari-imaris-loader,102.0,61.0
195,napari-chatgpt,,
196,napari-sif-reader,,20.0
197,morphospaces,,16.0
198,napari-apr-viewer,,17.0
199,guanine-crystal-analysis,27.0,9.0
200,napari-spatial-omics,27.0,24.0
201,brainreg-segment,73.0,250.0
202,napari-flim-phasor-plotter,,
203,napari-bacseg,,51.0
204,napari-nD-annotator,57.0,63.0
205,napari-blob-detection,213.0,44.0
206,napari-time-series-plotter,75.0,18.0
207,napari-cupy-image-processing,178.0,52.0
208,napari-LF,,12.0
209,napari-correct-drift,,95.0
210,napari-bbox,,36.0
211,napari_video,82.0,78.0
212,napari-brainways,,
213,napari-stracking,24.0,43.0
214,napari-cryofibsem-monitor,57.0,11.0
215,arcos-gui,60.0,54.0
216,napari-metroid,24.0,13.0
217,napari-bigwarp,24.0,10.0
218,napari-image-stacker,49.0,34.0
219,acquifer-napari,,
220,napari-denoiseg,,22.0
221,napari-help,25.0,8.0
222,vollseg-napari-mtrack,,103.0
223,napari-pymeshlab,,43.0
224,napari-nucleaizer,,30.0
225,napari-pssr,,11.0
226,napari-error-reporter,51.0,7.0
227,grabber-ift,27.0,16.0
228,workshop-demo,15.0,10.0
229,napari-brightness-contrast,268.0,85.0
230,disease-classifier,,9.0
231,napari-zulip,,196.0
232,morphometrics,114.0,51.0
233,napari-nikon-nd2,26.0,41.0
234,napari-cookiecut,,10.0
235,napari-svg,91.0,22384.0
236,Large-Image-Viewer,,
237,napari-subboxer,25.0,9.0
238,napari-proofread-brainbow,,81.0
239,napari-trait2d,51.0,17.0
240,napari-text-layer,26.0,16.0
241,napari-conidie,,22.0
242,napari-merge-stardist-masks,,25.0
243,Label-Creator,26.0,26.0
244,napari-aicsimageio,139.0,850.0
245,napari-dv,27.0,31.0
246,PartSeg,254.0,1156.0
247,napari-deepfinder,,16.0
248,napari-filament-annotator,,13.0
249,imaxt-multiscale-plugin,,69.0
250,napari-h5,,
251,napari-napari,,140.0
252,napari-label-interpolator,,18.0
253,napari-segment-anything,,685.0
254,napari-EMD,,
255,napari-tracing,,176.0
256,napari-pyclesperanto-assistant,230.0,328.0
257,napari-plot,101.0,30.0
258,napari-tomotwin,,78.0
259,elastix-napari,,73.0
260,napari-nifti,,348.0
261,napari-assistant-plugin-generator,,20.0
262,napari-deeplabcut,184.0,1621.0
263,napari-bio-sample-data,27.0,20.0
264,affinder,64.0,66.0
265,napari-shape-odyssey,,
266,koopa-viz,26.0,72.0
267,smo,27.0,94.0
268,ilastik-napari,,29.0
269,napari-features-selector,,57.0
270,napari-live-flim,,20.0
271,napari-solarized,,12.0
272,napari-yapic-prediction,49.0,27.0
273,napari-czann-segment,80.0,32.0
274,yt-napari,17.0,11.0
275,napari-workflow-optimizer,233.0,49.0
276,napari-pointslayer-projection,,27.0
277,btrack,183.0,963.0
278,napari-macrokit,,8.0
279,napari-blossom,25.0,11.0
280,napari-microscope,26.0,11.0
281,napari-sift-registration,25.0,17.0
282,napari-bil-data-viewer,27.0,33.0
283,napari-hough-circle-detector,,295.0
284,napari-laptrack,,125.0
285,napari-kics,24.0,19.0
286,skan,407.0,6705.0
287,napari-3d-ortho-viewer,220.0,31.0
288,napari-psf-simulator,26.0,31.0
289,napari-blender-bridge,,311.0
290,devbio-napari,715.0,121.0
291,napari-bioformats,33.0,45.0
292,napari-sairyscan,,9.0
293,napari-timeseries-opener-plugin,83.0,44.0
294,napari-listener,,28.0
295,napari-gemspa,,
296,multireg,,
297,napari-sdeconv,27.0,20.0
298,bbii-decon,31.0,21.0
299,napari-ccp4map,25.0,15.0
300,napari-bleach-correct,,9.0
301,organelle-segmenter-plugin,,
302,napari-matplotlib,57.0,327.0
303,napari-deepmeta,27.0,21.0
304,napari-superres,,
305,napari-mouse-controls,210.0,65.0
306,napari-mzarr,,
307,napari-nyxus,,
308,napari-input-visualizer,,7.0
309,napari-pdf-reader,25.0,4.0
310,skeleton-finder,,18.0
311,napari-tomocube-data-viewer,,25.0
312,napari-mat-file-reader,,27.0
313,napari-calibration,,45.0
314,napari-vodex,,117.0
315,platelet-unet-watershed,27.0,13.0
316,napari-allencell-segmenter,75.0,76.0
317,napari-data-preview,,3.0
318,napari-buds,,101.0
319,napari-mrcfile-reader,26.0,36.0
320,napari-griottes,,195.0
321,napari-tyssue,,46.0
322,napari-ui-tracer,,99.0
323,napari-nlm,,22.0
324,napari-manual-transforms,26.0,21.0
325,napari-hdf5-labels-io,26.0,39.0
326,napari-zelda,25.0,29.0
327,napari-ome-zarr,152.0,1135.0
328,napari-mclabel,,
329,napari-ISM,49.0,42.0
330,napari-lazy-openslide,48.0,55.0
331,Image-Composer,29.0,19.0
332,zarpaint,,18.0
333,napari-boxmanager,,391.0
334,vollseg-napari-trackmate,,1008.0
335,napari-splineit,107.0,37.0
336,okapi-em,,36.0
337,stardist-napari,38.0,172.0
338,napari-geoscience-viewer,,
339,epitools,,
340,napari-skimage-regionprops,400.0,1156.0
341,spots-in-yeasts,,
342,napari-mm3,,198.0
343,tootapari,,
344,napari-owncloud,,27.0
345,napari-properties-viewer,23.0,48.0
