,plugin,conda_downloads,pypi_downloads
194,napari-imaris-loader,30.0,87.0
195,napari-chatgpt,,333.0
196,napari-sif-reader,,11.0
197,morphospaces,,6.0
198,napari-apr-viewer,,3.0
199,guanine-crystal-analysis,11.0,86.0
200,napari-spatial-omics,9.0,19.0
201,brainreg-segment,27.0,948.0
202,napari-flim-phasor-plotter,,
203,napari-bacseg,,198.0
204,napari-nD-annotator,15.0,458.0
205,napari-blob-detection,153.0,64.0
206,napari-time-series-plotter,23.0,27.0
207,napari-cupy-image-processing,55.0,83.0
208,napari-LF,,164.0
209,napari-correct-drift,,120.0
210,napari-bbox,,93.0
211,napari_video,23.0,85.0
212,napari-brainways,,291.0
213,napari-stracking,7.0,15.0
214,napari-cryofibsem-monitor,18.0,15.0
215,arcos-gui,24.0,63.0
216,napari-metroid,9.0,9.0
217,napari-bigwarp,9.0,15.0
218,napari-image-stacker,13.0,28.0
219,acquifer-napari,,
220,napari-denoiseg,,22.0
221,napari-help,7.0,5.0
222,vollseg-napari-mtrack,,102.0
223,napari-pymeshlab,,32.0
224,napari-nucleaizer,,18.0
225,napari-pssr,,4.0
226,napari-error-reporter,18.0,14.0
227,grabber-ift,8.0,16.0
228,workshop-demo,6.0,10.0
229,napari-brightness-contrast,167.0,104.0
230,disease-classifier,,17.0
231,napari-zulip,,36.0
232,morphometrics,117.0,61.0
233,napari-nikon-nd2,6.0,43.0
234,napari-cookiecut,,14.0
235,napari-svg,55.0,29869.0
236,Large-Image-Viewer,,
237,napari-subboxer,7.0,8.0
238,napari-proofread-brainbow,,37.0
239,napari-trait2d,13.0,23.0
240,napari-text-layer,6.0,5.0
241,napari-conidie,,6.0
242,napari-merge-stardist-masks,,31.0
243,Label-Creator,9.0,29.0
244,napari-aicsimageio,57.0,603.0
245,napari-dv,7.0,53.0
246,PartSeg,237.0,2409.0
247,napari-deepfinder,,12.0
248,napari-filament-annotator,,30.0
249,imaxt-multiscale-plugin,,401.0
250,napari-h5,,
251,napari-napari,,37.0
252,napari-label-interpolator,,20.0
253,napari-segment-anything,,188.0
254,napari-EMD,,
255,napari-tracing,,43.0
256,napari-pyclesperanto-assistant,65.0,495.0
257,napari-plot,25.0,51.0
258,napari-tomotwin,,231.0
259,elastix-napari,,209.0
260,napari-nifti,,473.0
261,napari-assistant-plugin-generator,,9.0
262,napari-deeplabcut,51.0,1725.0
263,napari-bio-sample-data,8.0,5.0
264,affinder,18.0,79.0
265,napari-shape-odyssey,,
266,koopa-viz,10.0,45.0
267,smo,12.0,189.0
268,ilastik-napari,,23.0
269,napari-features-selector,,18.0
270,napari-live-flim,,13.0
271,napari-solarized,,12.0
272,napari-yapic-prediction,14.0,60.0
273,napari-czann-segment,27.0,123.0
274,yt-napari,9.0,8.0
275,napari-workflow-optimizer,157.0,95.0
276,napari-pointslayer-projection,,10.0
277,btrack,144.0,525.0
278,napari-macrokit,,11.0
279,napari-blossom,6.0,23.0
280,napari-microscope,7.0,19.0
281,napari-sift-registration,6.0,9.0
282,napari-bil-data-viewer,10.0,31.0
283,napari-hough-circle-detector,,21.0
284,napari-laptrack,,99.0
285,napari-kics,7.0,6.0
286,skan,366.0,6768.0
287,napari-3d-ortho-viewer,153.0,30.0
288,napari-psf-simulator,7.0,22.0
289,napari-blender-bridge,,34.0
290,devbio-napari,257.0,333.0
291,napari-bioformats,21.0,72.0
292,napari-sairyscan,,3.0
293,napari-timeseries-opener-plugin,24.0,21.0
294,napari-listener,,25.0
295,napari-gemspa,,179.0
296,multireg,,
297,napari-sdeconv,10.0,25.0
298,bbii-decon,12.0,15.0
299,napari-ccp4map,6.0,3.0
300,napari-bleach-correct,,17.0
301,organelle-segmenter-plugin,,109.0
302,napari-matplotlib,22.0,861.0
303,napari-deepmeta,9.0,38.0
304,napari-superres,,
305,napari-mouse-controls,151.0,70.0
306,napari-mzarr,,
307,napari-nyxus,,115.0
308,napari-input-visualizer,,11.0
309,napari-pdf-reader,8.0,4.0
310,skeleton-finder,,7.0
311,napari-tomocube-data-viewer,,13.0
312,napari-mat-file-reader,,8.0
313,napari-calibration,,49.0
314,napari-vodex,,42.0
315,platelet-unet-watershed,10.0,7.0
316,napari-allencell-segmenter,22.0,210.0
317,napari-data-preview,,15.0
318,napari-buds,,65.0
319,napari-mrcfile-reader,12.0,45.0
320,napari-griottes,,49.0
321,napari-tyssue,,23.0
322,napari-ui-tracer,,30.0
323,napari-nlm,,6.0
324,napari-manual-transforms,6.0,20.0
325,napari-hdf5-labels-io,10.0,26.0
326,napari-zelda,7.0,22.0
327,napari-ome-zarr,42.0,1191.0
328,napari-mclabel,,
329,napari-ISM,15.0,50.0
330,napari-lazy-openslide,14.0,83.0
331,Image-Composer,11.0,21.0
332,zarpaint,,8.0
333,napari-boxmanager,,707.0
334,vollseg-napari-trackmate,,534.0
335,napari-splineit,30.0,52.0
336,okapi-em,,31.0
337,stardist-napari,19.0,144.0
338,napari-geoscience-viewer,,124.0
339,epitools,,669.0
340,napari-skimage-regionprops,111.0,1142.0
341,spots-in-yeasts,,
342,napari-mm3,,137.0
343,tootapari,,
344,napari-owncloud,,7.0
345,napari-properties-viewer,8.0,57.0
