,plugin,conda_downloads,pypi_downloads
64,napari-power-spectrum,9.0,25.0
65,vessel-express-napari,10.0,35.0
66,morphometrics-engine,,30.0
67,napari-vedo-bridge,,
68,napari-turing,21.0,37.0
69,Partial-Aligner,11.0,8.0
70,napari-stress,,272.0
71,napari-quoll,,19.0
72,napari-apple,,246.0
73,napari-stable-diffusion,,18.0
74,napari-yolov5,26.0,37.0
75,napari-labelling-assistant,11.0,39.0
76,napari-checkerboard,,31.0
77,napari-imsmicrolink,25.0,71.0
78,napari-brainbow-diagnose,,45.0
79,napari-power-widgets,,14.0
80,napari-nasa-samples,8.0,43.0
81,napari-roi-registration,20.0,87.0
82,napari-folder-browser,206.0,129.0
83,napari-live-recording,20.0,212.0
84,napari-dvid,11.0,17.0
85,napari-annotatorj,22.0,55.0
86,napari-caphid,,
87,napari-process-points-and-surfaces,,492.0
88,napari-clipboard,,
89,pycudadecon,64.0,31.0
90,napari-cell-centroid-annotator,,13.0
91,napari-seedseg,,30.0
92,eats-worm,,117.0
93,napari-em-reader,13.0,23.0
94,recOrder-napari,42.0,153.0
95,napari-labelimg4classification,10.0,26.0
96,napari-roi,79.0,308.0
97,PartSeg-smfish,29.0,37.0
98,napari-tomoslice,11.0,37.0
99,napari-cryoet-data-portal,,
100,napari-labeling,10.0,24.0
101,napari-time-slicer,303.0,1544.0
102,napari-indices,,58.0
103,napari-qrcode,,21.0
104,napari-arboretum,39.0,156.0
105,napari-sam,,626.0
106,napari-features,14.0,25.0
107,allencell-ml-segmenter,,42.0
108,napari-micromanager,22.0,157.0
109,napari-mri,9.0,18.0
110,napari-medical-image-formats,13.0,40.0
111,napari-rioxarray,,10.0
112,napari-script-editor,35.0,119.0
113,napari-spacetx-explorer,13.0,30.0
114,napari-graph,,249.0
115,napari-PHILOW,10.0,36.0
116,napari-sc3D-viewer,9.0,34.0
117,napari-bigfish,,61.0
118,nucleaizer-backend,,45.0
119,hesperos,72.0,487.0
120,napari-tiler,48.0,75.0
121,faser,,51.0
122,napari-layer-details-display,34.0,176.0
123,napari-meshio,,19.0
124,napari-figure,,314.0
125,napari-locpix,,21.0
126,napari-labels-overlap,22.0,43.0
127,napari-annotate,,102.0
128,napari-large-image-importer,,18.0
129,napari-patchcreator,,31.0
130,napari-labelprop,,196.0
131,napari-mat-images,15.0,31.0
132,napari-result-stack,,13.0
133,napari-nanopyx,,167.0
134,brainreg-napari,,312.0
135,napari-PICASSO,11.0,51.0
136,psfmodels,156.0,337.0
137,zarr-tools,,47.0
138,misic-napari,25.0,65.0
139,napari-bfio,,
140,napari-multitask,11.0,18.0
141,napari-tracks-reader,12.0,32.0
142,napari-boids,,8.0
143,napari-stl-exporter,36.0,105.0
144,napari-ndtiffs,56.0,1607.0
145,Offset-Subtraction,11.0,10.0
146,Layer-Data-Replace,15.0,11.0
147,napari-unicell,,32.0
148,napari-spreadsheet,,84.0
149,napari-tomodl,,96.0
150,napari-accelerated-pixel-and-object-classification,142.0,410.0
151,napari-compressed-labels-io,13.0,22.0
152,Image-Part-Selecter,9.0,23.0
153,napari-animation,19.0,461.0
154,napari-omero,12.0,71.0
155,napari-segment,,102.0
156,napari-workshop-browser,,
157,napari-nd-cropper,12.0,15.0
158,cellpose-napari,48.0,209.0
159,palmari,61.0,220.0
160,napari-serialcellpose,,42.0
161,napari-pystackreg,14.0,168.0
162,napari-elementary-numpy-operations,11.0,31.0
163,napari-wsireg,,30.0
164,napari-umap,,19.0
165,napari-steinpose,,14.0
166,napari-dzi-zarr,11.0,39.0
167,napari-pixel-correction,,21.0
168,cellfinder-napari,87.0,489.0
169,napari-tissuumaps,10.0,44.0
170,napari-file-watcher,,38.0
171,napari-tabu,206.0,146.0
172,RedLionfish,131.0,227.0
173,napari-SAM4IS,,42.0
174,napari-IP-workflow,9.0,26.0
175,nfinder,27.0,15.0
176,napari-geojson,12.0,96.0
177,napari-J,31.0,53.0
178,napari-amdtrk,,27.0
179,napari-plot-profile,217.0,218.0
180,napari-clemreg,,43.0
181,anchor-droplet-chip,,182.0
182,napari-tiledb-bioimg,,29.0
183,PlatyMatch,207.0,164.0
184,in-silico-fate-mapping,,21.0
185,napari-boardgame-maker,,
186,snouty-viewer,,54.0
187,napari-properties-plotter,11.0,43.0
188,avidaq,35.0,47.0
189,brainglobe-napari-io,76.0,855.0
190,napari-lattice,,114.0
191,napari-gruvbox,,31.0
192,napari-video-cvdask,,23.0
193,bfio,,1402.0
194,napari-imaris-loader,39.0,66.0
195,napari-chatgpt,,479.0
196,napari-sif-reader,,11.0
197,morphospaces,,8.0
198,napari-apr-viewer,,42.0
199,guanine-crystal-analysis,10.0,35.0
200,napari-spatial-omics,13.0,47.0
201,brainreg-segment,67.0,870.0
202,napari-flim-phasor-plotter,,
203,napari-bacseg,,258.0
204,napari-nD-annotator,24.0,205.0
205,napari-blob-detection,209.0,127.0
206,napari-time-series-plotter,30.0,53.0
207,napari-cupy-image-processing,69.0,117.0
208,napari-LF,,62.0
209,napari-correct-drift,,37.0
210,napari-bbox,,33.0
211,napari_video,33.0,116.0
212,napari-brainways,,458.0
213,napari-stracking,12.0,53.0
214,napari-cryofibsem-monitor,19.0,19.0
215,arcos-gui,39.0,77.0
216,napari-metroid,8.0,31.0
217,napari-bigwarp,10.0,11.0
218,napari-image-stacker,22.0,52.0
219,acquifer-napari,,
220,napari-denoiseg,,38.0
221,napari-help,9.0,15.0
222,vollseg-napari-mtrack,,397.0
223,napari-pymeshlab,,77.0
224,napari-nucleaizer,,30.0
225,napari-pssr,,20.0
226,napari-error-reporter,22.0,24.0
227,grabber-ift,11.0,23.0
228,workshop-demo,10.0,18.0
229,napari-brightness-contrast,222.0,218.0
230,disease-classifier,,11.0
231,napari-zulip,,22.0
232,morphometrics,112.0,98.0
233,napari-nikon-nd2,10.0,41.0
234,napari-cookiecut,,25.0
235,napari-svg,64.0,33426.0
236,Large-Image-Viewer,,
237,napari-subboxer,9.0,116.0
238,napari-proofread-brainbow,,77.0
239,napari-trait2d,18.0,29.0
240,napari-text-layer,11.0,24.0
241,napari-conidie,,14.0
242,napari-merge-stardist-masks,,138.0
243,Label-Creator,14.0,27.0
244,napari-aicsimageio,73.0,772.0
245,napari-dv,11.0,52.0
246,PartSeg,197.0,2776.0
247,napari-deepfinder,,21.0
248,napari-filament-annotator,,36.0
249,imaxt-multiscale-plugin,,125.0
250,napari-h5,,
251,napari-napari,,123.0
252,napari-label-interpolator,,26.0
253,napari-segment-anything,,127.0
254,napari-EMD,,
255,napari-tracing,,23.0
256,napari-pyclesperanto-assistant,89.0,780.0
257,napari-plot,41.0,173.0
258,napari-tomotwin,,87.0
259,elastix-napari,,211.0
260,napari-nifti,,221.0
261,napari-assistant-plugin-generator,,20.0
262,napari-deeplabcut,76.0,1624.0
263,napari-bio-sample-data,9.0,36.0
264,affinder,38.0,87.0
265,napari-shape-odyssey,,
266,koopa-viz,8.0,31.0
267,smo,14.0,356.0
268,ilastik-napari,,192.0
269,napari-features-selector,,42.0
270,napari-live-flim,,31.0
271,napari-solarized,,17.0
272,napari-yapic-prediction,23.0,95.0
273,napari-czann-segment,27.0,103.0
274,yt-napari,13.0,12.0
275,napari-workflow-optimizer,214.0,144.0
276,napari-pointslayer-projection,,17.0
277,btrack,101.0,563.0
278,napari-macrokit,,25.0
279,napari-blossom,13.0,175.0
280,napari-microscope,11.0,32.0
281,napari-sift-registration,8.0,21.0
282,napari-bil-data-viewer,16.0,191.0
283,napari-hough-circle-detector,,42.0
284,napari-laptrack,,32.0
285,napari-kics,11.0,39.0
286,skan,157.0,6014.0
287,napari-3d-ortho-viewer,205.0,47.0
288,napari-psf-simulator,12.0,68.0
289,napari-blender-bridge,,41.0
290,devbio-napari,304.0,442.0
291,napari-bioformats,34.0,72.0
292,napari-sairyscan,,21.0
293,napari-timeseries-opener-plugin,29.0,73.0
294,napari-listener,,25.0
295,napari-gemspa,,170.0
296,multireg,,824.0
297,napari-sdeconv,13.0,34.0
298,bbii-decon,16.0,19.0
299,napari-ccp4map,10.0,20.0
300,napari-bleach-correct,,30.0
301,organelle-segmenter-plugin,,115.0
302,napari-matplotlib,29.0,1228.0
303,napari-deepmeta,10.0,47.0
304,napari-superres,,53.0
305,napari-mouse-controls,208.0,158.0
306,napari-mzarr,,125.0
307,napari-nyxus,,20.0
308,napari-input-visualizer,,16.0
309,napari-pdf-reader,12.0,17.0
310,skeleton-finder,,15.0
311,napari-tomocube-data-viewer,,21.0
312,napari-mat-file-reader,,16.0
313,napari-calibration,,68.0
314,napari-vodex,,51.0
315,platelet-unet-watershed,12.0,19.0
316,napari-allencell-segmenter,28.0,247.0
317,napari-data-preview,,65.0
318,napari-buds,,100.0
319,napari-mrcfile-reader,13.0,137.0
320,napari-griottes,,46.0
321,napari-tyssue,,23.0
322,napari-ui-tracer,,38.0
323,napari-nlm,,32.0
324,napari-manual-transforms,10.0,38.0
325,napari-hdf5-labels-io,11.0,94.0
326,napari-zelda,10.0,58.0
327,napari-ome-zarr,74.0,1254.0
328,napari-mclabel,,
329,napari-ISM,18.0,151.0
330,napari-lazy-openslide,20.0,89.0
331,Image-Composer,10.0,22.0
332,zarpaint,,11.0
333,napari-boxmanager,,563.0
334,vollseg-napari-trackmate,,475.0
335,napari-splineit,45.0,62.0
336,okapi-em,,131.0
337,stardist-napari,25.0,212.0
338,napari-geoscience-viewer,,42.0
339,epitools,,204.0
340,napari-skimage-regionprops,148.0,1813.0
341,spots-in-yeasts,,
342,napari-mm3,,126.0
343,tootapari,,
344,napari-owncloud,,17.0
345,napari-properties-viewer,11.0,35.0
