,plugin,conda_downloads,pypi_downloads
194,napari-pymeshlab,,21.0
195,napari-pystackreg,6.0,150.0
196,napari-qrcode,,
197,napari-quoll,,7.0
198,napari-result-stack,,98.0
199,napari-rioxarray,,8.0
200,napari-roi,152.0,106.0
201,napari-roi-registration,18.0,21.0
202,napari-sairyscan,,7.0
203,napari-sc3D-viewer,11.0,16.0
204,napari-script-editor,29.0,64.0
205,napari-sdeconv,8.0,23.0
206,napari-segment,,48.0
207,napari-segment-blobs-and-things-with-membranes,204.0,347.0
208,napari-serialcellpose,,21.0
209,napari-sif-reader,,13.0
210,napari-sift-registration,11.0,11.0
211,napari-sim-processor,22.0,75.0
212,napari-simpleitk-image-processing,167.0,287.0
213,napari-skimage-regionprops,144.0,1222.0
214,napari-solarized,,166.0
215,napari-spacetx-explorer,12.0,24.0
216,napari-spatial-omics,7.0,25.0
217,napari-spatialdata,6.0,10.0
218,napari-splinedist,,17.0
219,napari-splineit,41.0,18.0
220,napari-spreadsheet,,88.0
221,napari-stable-diffusion,,12.0
222,napari-steinpose,,14.0
223,napari-stl-exporter,33.0,365.0
224,napari-stracking,8.0,23.0
225,napari-stress,,140.0
226,napari-subboxer,10.0,14.0
227,napari-svetlana,,363.0
228,napari-svg,102.0,15869.0
229,napari-tabu,103.0,89.0
230,napari-text-layer,10.0,22.0
231,napari-tiler,53.0,54.0
232,napari-time-series-plotter,30.0,25.0
233,napari-time-slicer,202.0,843.0
234,napari-timeseries-opener-plugin,28.0,23.0
235,napari-tissuumaps,10.0,18.0
236,napari-tomoslice,10.0,17.0
237,napari-tracks-reader,14.0,20.0
238,napari-trait2d,18.0,7.0
239,napari-turing,20.0,14.0
240,napari-tyssue,,13.0
241,napari-umap,,11.0
242,napari-unicell,,17.0
243,napari-validate-random-label-predictions,,15.0
244,napari-vesicles-segmentation,14.0,8.0
245,napari-video-cvdask,,12.0
246,napari-vodex,,410.0
247,napari-workflow-inspector,124.0,92.0
248,napari-workflow-optimizer,117.0,55.0
249,napari-wsi,,
250,napari-wsireg,,22.0
251,napari-yapic-prediction,21.0,47.0
252,napari-yolov5,22.0,27.0
253,napari-zelda,14.0,32.0
254,napari_video,101.0,91.0
255,natari,11.0,35.0
256,nfinder,27.0,10.0
257,okapi-em,,126.0
258,palmari,88.0,278.0
259,platelet-unet-watershed,13.0,21.0
260,psfmodels,106.0,153.0
261,pycudadecon,78.0,12.0
262,recOrder-napari,64.0,240.0
263,skan,533.0,1470.0
264,skeleton-finder,,6.0
265,smo,11.0,26.0
266,snouty-viewer,,11.0
267,stardist-napari,26.0,370.0
268,the-segmentation-game,110.0,56.0
269,vessel-express-napari,15.0,8.0
270,vollseg-napari,25.0,209.0
271,vollseg-napari-mtrack,,598.0
272,vollseg-napari-trackmate,,782.0
273,waver,14.0,35.0
274,workshop-demo,7.0,21.0
275,yt-napari,11.0,21.0
276,zarpaint,,7.0
